date (UTC),description,moneyIn (BTC),moneyOut (BTC),tx hash,current balance (BTC)
26/12/19 13:08,PAYMENT SENT,0,-417.2823811,2d7d367d50e16681ad0b38cc4392da211706b9595c502a9378dd178e33a9d34e,17558.47579
25/12/19 19:59,PAYMENT RECEIVED,1.38E-05,0,4abd6a4d3a539f5bf41ac2bdcd2dc89ab93087e0d89fa570bc2a9f785976abe0,17975.75817
3/9/19 10:59,PAYMENT RECEIVED,1.00E-05,0,4fd5104e63eecfc54a9719423eae9296734faa497662e064ff96385e73b90032,13984.08523
3/9/19 13:10,PAYMENT SENT,0,-2.32657265,9ebc3ba2e1ef0565b6ee0f89a8dbb938f54dc3345270bc7a9ce974c11db44167,13981.75866
5/9/19 7:07,PAYMENT RECEIVED,2000,0,490eaed07f04df243aeec50e48bea7ced88e897c673c0b057b86128e461de4d6,15981.75866
5/9/19 18:19,PAYMENT SENT,0,-2.0002,681d167fd9e9802e2f5cca988ef4e47b9895278d06be2a5ff0a8db504cddb39c,15979.75846
24/9/19 19:39,PAYMENT RECEIVED,2000,0,8b704ecb2e4708efd47802a5507d92ba0926f586afe84ac54e2fa99b97e27b13,17979.75846
25/9/19 13:50,PAYMENT SENT,0,-4.0003,bd0f0f59b71f9e799020b854808c86a75cddb203ee1e01dc8e7eef271619e725,17975.75816
21/8/19 5:58,PAYMENT RECEIVED,5000,0,eaf102244fb977df6c649f4c57fb10291dd0b820361d529bdf3a81a757e3e6b9,13984.36759
21/8/19 13:28,PAYMENT SENT,0,-0.28236629,9974eecdc0842ede6198ef1b478eeddb76ac57b2b0d9193293d18074061bd012,13984.08522
3/7/19 13:14,PAYMENT SENT,0,-700.001,b396a28a4001eeb097b30d7d79bceb6921771a4fc2baccc125dd36efbe26cdf3,12634.87864
23/7/19 10:25,PAYMENT RECEIVED,5.47E-06,0,8163009e0c5a75c481593a75dda410389d04cb1973f8809b3d66baeba2aa9baf,12634.87864
23/7/19 13:23,PAYMENT SENT,0,-1300.497961,63f9e19f2de9e837904b04e5854a753db3dd73fd03e184f4c1ad7338b5abccc3,11334.38068
30/7/19 13:10,PAYMENT SENT,0,-2350.013093,21413e00788d1bfd3ee4e17cfd58e31f659b1db38f1e797577af0474faa48029,8984.367589
7/6/19 12:10,PAYMENT RECEIVED,1.51E-05,0,60c3c378e03cfab94f03c02b606caf2856a1f3b1b3eb5b0f55f85293173de1b8,13634.88063
10/6/19 13:21,PAYMENT SENT,0,-300.001,13898498565dfa10f90484aade248f63a388a8afad80afd2e47f0deb5753a700,13334.87963
18/6/19 12:39,PAYMENT RECEIVED,7.77E-06,0,786cf1ab0510eea36a1c84cd7a32462e1617ba33b8d096ccc01ac3ddd1b5a26b,13334.87964
15/3/19 9:26,PAYMENT RECEIVED,5.46E-06,0,edab6b20ef401934abf31657497bb0e973cbe3e9bc363aa1487afef213ea6015,13646.7828
15/3/19 13:16,PAYMENT SENT,0,-5.001,fb0aabccea65145fc6c4e195150b5b3c223534a02db9b946612e06a74e4484e7,13641.7818
21/3/19 8:17,PAYMENT RECEIVED,5.46E-06,0,4533732112d8fabc15e383f14442311a7aebb5b7d3dda67745fa3db68b258614,13641.78181
21/3/19 16:06,PAYMENT SENT,0,-3.0002,2c88bbacd8d08a9e47af4d5d5023dfa13658b46656a1e202c8b6c866f3dcba9d,13638.78161
31/3/19 1:44,PAYMENT RECEIVED,8.88E-06,0,24ce79cd770e7b0aefd5971492ea058f5237b314088e7779b3425561f8adfc06,13638.78161
31/3/19 13:11,PAYMENT SENT,0,-3.901,187bd42d533115f0e80bffc162aec77c623cb872f4936bcf71609883c01d8fc4,13634.88061
15/1/19 9:51,PAYMENT RECEIVED,0.0001,0,658da07f300a719328ba7b404f431618fc3b8d76746486f7a871a952633bac59,13648.783
15/1/19 13:34,PAYMENT SENT,0,-2.0002,505c5752d8a701905dc03599196297be6a4a0d035cde20706ec0dab2c36bf602,13646.7828
18/12/18 13:39,PAYMENT SENT,0,-1.03291402,1a587f67b6665c97b045d64bbe23aba031e3da34de9e9a42d6e5473564bab1f9,13648.7829
15/11/18 13:36,PAYMENT SENT,0,-1200.001,fd8d4c4fd9956c51131f3c80ead779a51746d58a8cac2bdf378930d8d5ffc391,13649.8158
25/11/18 20:15,PAYMENT RECEIVED,1.00E-05,0,3d2562a2ab71f33f58e5cb91b91891e12ed56dc73fe377e36124332c3f06d1ca,13649.81581
14/10/18 9:17,PAYMENT RECEIVED,5.55E-06,0,fe3413997e60eccbdfae171726b28ebbe776419b0ec97999388ccdd29570dc11,14864.40506
25/10/18 13:17,PAYMENT SENT,0,-7.001,8a386417818cd4239f42f0734917036e635af4901349972eedf2e6e17c70cd7b,14849.81679
24/10/18 18:38,PAYMENT RECEIVED,1.00E-05,0,4a0b554260d943c60089aa28a7fb15f1711d8a693e5021811b1734ee6b5da149,14856.81779
23/10/18 11:50,PAYMENT RECEIVED,8.88E-06,0,1d6580dcd979951bd600252b741c22a3ea8e605e43168f8452c68915c3ea2bf3,14856.81778
22/10/18 13:45,PAYMENT SENT,0,-1.58731013,176f663494477c68cc648ec27d0e2d1982c35c6d4c4065d9ac73c84fd32cc246,14856.81777
21/10/18 14:12,PAYMENT RECEIVED,6.66E-06,0,ad2b58216d977597b357916f1ef0773864bee73f34c541f55c393b6598204bee,14858.40508
20/10/18 21:15,PAYMENT RECEIVED,5.55E-06,0,6d8f41751d81134159a1e5d0a5e282e19f3e8afbbb85104415ad5095ccc03bc1,14858.40507
18/10/18 13:19,PAYMENT SENT,0,-6,b60a6b2deed5d29506305ff2b52f253f7a28598baa3c631e60cc9b64af4c7b6b,14858.40507
18/10/18 12:40,PAYMENT RECEIVED,6.67E-06,0,102dd004e34a57d923e78a81fb45c881c56b2174066449beda96ff853a7dfd18,14864.40507
25/10/18 18:58,PAYMENT RECEIVED,8.88E-06,0,e9e982b32787295f386e53d413a827b6ee53e6e8fdd99a2dcb23086a6a09542e,14849.8168
5/9/18 14:51,PAYMENT RECEIVED,1.00E-05,0,d3409f7becbdb7ae6922b6f7ad7c78781feed26d48d8a1caf5806db58f47630f,13448.23957
27/9/18 13:33,PAYMENT SENT,0,-900.001,208eed65f8a6b40c7202aba8470319f609b1283398c0861004323145100ea015,15158.7143
26/9/18 13:15,PAYMENT SENT,0,-100.001,153558780fc57e1496b3a222a01add5247b84e9d0e88896b9250f0c5caf3721e,16058.7153
25/9/18 13:55,PAYMENT SENT,0,-1000.0002,79b0052633ea50af91bfd9354dbbb2affd3e92c38133e8f30204a47e93ec47d4,16158.7163
21/9/18 13:12,PAYMENT SENT,0,-100.001,4b05a0205ec0c419c980bf814440d9e7498c121561489970968f2b0e31cd299b,17158.7165
10/9/18 3:38,PAYMENT SENT,0,-500.0002,a1d8d3cbc4ca7f5f61cbe48e8de6847d1ae9c32b094e9e15aab4410271ae931a,17258.7175
9/9/18 14:19,PAYMENT SENT,0,-1648.562882,afabd056b928c24a50dfccc001bb4c53fb7ff19e9ee08f1032877463598d789e,17758.7177
7/9/18 14:04,PAYMENT SENT,0,-3400.0004,5a74789398f154cf9de80b4eab321612e17005e71bce0fc84b219148b49c6f82,19407.28058
6/9/18 17:06,PAYMENT SENT,0,-640.9586,3c8148d76e2c82e55ed646d84f93335dfbfd504593de60a326859e214c05727d,22807.28098
6/9/18 16:13,PAYMENT RECEIVED,8.88E-06,0,d2fc5dc604d7b806213a02a2b94bd99b25d8c0e933921b03a0102aca680f1d25,23448.23958
6/9/18 8:47,PAYMENT RECEIVED,10000,0,f2465a1225531d33696380f06034499a52d707f85ee6ae1419885980011f6e25,23448.23957
28/9/18 13:44,PAYMENT SENT,0,-294.3092422,cc72379ca4659172f1434bf4ad4526e7fd0d1ca3414da31ef11bbf98ad5f9f48,14864.40506
14/8/18 16:14,PAYMENT RECEIVED,10,0,dca04ea5bdb8bf3929104a40230a0f92ce57e7f3c1e18108a740a74a3d90fce4,10.64281195
14/8/18 18:30,PAYMENT RECEIVED,17990,0,84c7f97a7c4a9452d46ebe6d43db3a4c6c5c6b008405d5378fddf063542c9e35,18000.64281
15/8/18 13:35,PAYMENT SENT,0,-5000.0005,c7e29bee49ae747713fc75acabcb33612b17463f710d08cb410feabed82b6f07,13000.64231
18/8/18 1:02,PAYMENT RECEIVED,5.00E-05,0,2f191735e38b04d5fc0b2dce6338fd19ce11fc2b3344222467257e996ad87786,13000.64236
20/8/18 13:35,PAYMENT SENT,0,-500.001,ee4c151150b5995dd9357a7f56373715cf740a74804dba0cd52676f02b0320fd,12500.64136
21/8/18 7:34,PAYMENT RECEIVED,7000,0,d475dfc9c64ff76f7f2a581a75e72adb8463ea49a686955e3243aa1603e6df4e,19500.64136
21/8/18 13:14,PAYMENT SENT,0,-350.001,d75c9c1c68272c35bdd3a707306da8b9886d0e876f04b954c401e157005bddd1,19150.64036
22/8/18 13:08,PAYMENT SENT,0,-5702.4008,9eaeeca18a5025eaa3c17b9aee6cbfa0d47880ca056a4a9a6c2e5aaa779c5364,13448.23956
18/7/17 3:32,PAYMENT RECEIVED,100,0,f2cead04eb2fbf356701c5b340f958c579eea8e3b5ae7fff97e08c17ad4640e3,100
28/7/17 4:11,PAYMENT SENT,0,-99.35718805,81565c0b0608ebb8aeeb80a57c17374b11878268cd1044e893d854df17cc10a7,0.64281195
